Acedamic percentage,Hours Studying per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system,self-learning capability,Extra-courses did,certifications,workshops,talenttests taken,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies,Type of company want to settle in,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour,Salary/work,hard/smart worker,Introvert,Suggested Job Role
78,9,1,1,5,5,no,yes,no,app development,web technologies,no,yes,excellent,poor,Computer Architecture,testing,job,Finance,no,no,Self help,salary,stubborn,work,smart worker,no,Business Owner
60,6,7,6,1,8,no,no,no,shell programming,web technologies,yes,yes,medium,excellent,data engineering,developer,higherstudies,BPA,no,no,Encyclopedias,Work,gentle,salary,hard worker,no,Accountant
92,4,8,4,5,7,yes,no,yes,app development,hacking,yes,no,medium,excellent,data engineering,testing,job,Testing and Maintainance Services,no,no,Self help,salary,stubborn,work,hard worker,no,Scientist
77,5,8,1,3,8,yes,yes,no,app development,data science,no,no,excellent,poor,Computer Architecture,Business process analyst,job,Sales and Marketing,no,no,Guide,salary,gentle,work,hard worker,yes,Stock Investor
93,10,8,5,6,7,no,yes,yes,full stack,cloud computing,no,no,poor,medium,Computer Architecture,system developer,job,Testing and Maintainance Services,yes,no,Autobiographies,Work,gentle,salary,smart worker,yes,Game Developer
90,12,8,3,4,9,yes,yes,yes,hadoop,database security,yes,yes,medium,excellent,Management,Business process analyst,higherstudies,Web Services,yes,no,Journals,Work,stubborn,work,hard worker,yes,Banker
83,11,7,4,2,2,yes,no,yes,information security,data science,no,yes,poor,poor,data engineering,testing,job,Product based,yes,yes,Drama,Work,gentle,salary,hard worker,yes,Stock Investor
64,5,5,3,1,2,yes,yes,no,distro making,data science,no,no,excellent,medium,programming,system developer,higherstudies,Finance,yes,yes,Guide,Work,gentle,salary,smart worker,no,Accountant
61,12,8,3,7,3,yes,yes,no,full stack,hacking,yes,no,excellent,poor,Management,testing,job,Service Based,no,no,Diaries,Work,gentle,salary,hard worker,yes,Software Engineer
64,9,6,0,2,3,no,yes,no,python,cloud computing,yes,no,poor,excellent,Management,system developer,higherstudies,BPA,yes,yes,Self help,salary,gentle,salary,hard worker,yes,Lawyer
82,8,7,3,4,1,yes,no,yes,full stack,web technologies,no,no,medium,excellent,Computer Architecture,Business process analyst,job,Web Services,no,yes,Prayer books,Work,stubborn,work,smart worker,no,Business Owner
93,8,9,4,1,1,yes,yes,yes,python,cloud computing,yes,yes,excellent,excellent,networks,security,job,Product based,no,yes,Art,Work,stubborn,salary,hard worker,yes,Game Developer
83,9,1,1,1,2,no,no,no,shell programming,cloud computing,yes,no,medium,excellent,hacking,system developer,job,Sales and Marketing,no,no,Series,salary,gentle,work,hard worker,yes,Scientist
90,11,6,6,2,3,no,yes,yes,machine learning,database security,yes,no,excellent,poor,cloud computing,developer,higherstudies,Web Services,yes,no,Encyclopedias,Work,gentle,salary,hard worker,no,Banker
90,8,5,4,8,1,no,no,yes,app development,testing,no,yes,poor,excellent,IOT,testing,higherstudies,Cloud Services,no,no,Encyclopedias,Work,gentle,salary,smart worker,yes,Banker
93,5,5,2,3,3,no,yes,yes,shell programming,hacking,no,yes,medium,medium,networks,testing,higherstudies,Product based,no,yes,Travel,Work,stubborn,work,smart worker,yes,Scientist
85,11,4,0,5,3,no,no,no,r programming,system designing,no,yes,excellent,medium,Computer Architecture,Business process analyst,job,Finance,yes,yes,History,salary,gentle,work,smart worker,no,Banker
67,11,2,2,4,4,no,no,yes,r programming,testing,yes,no,poor,medium,data engineering,cloud computing,job,Service Based,no,yes,Fantasy,salary,gentle,work,smart worker,yes,Accountant
65,6,1,3,2,4,no,no,yes,distro making,system designing,yes,no,excellent,medium,networks,testing,job,Cloud Services,no,no,Poetry,Work,gentle,work,hard worker,yes,Accountant
87,9,2,1,5,9,yes,no,no,information security,testing,no,no,excellent,medium,networks,testing,job,Product based,no,yes,Journals,Work,stubborn,work,smart worker,yes,Banker
77,6,6,6,3,8,no,no,yes,distro making,cloud computing,no,no,medium,medium,parallel computing,system developer,higherstudies,SAaS services,no,no,Cookbooks,Work,gentle,work,hard worker,yes,Doctor
77,9,6,4,8,9,no,yes,no,app development,database security,no,yes,excellent,excellent,Computer Architecture,security,job,Testing and Maintainance Services,no,no,Horror,salary,stubborn,work,hard worker,yes,Stock Investor
91,7,2,1,7,2,no,no,yes,r programming,database security,no,no,excellent,medium,cloud computing,system developer,higherstudies,SAaS services,no,no,Religion-Spirituality,salary,stubborn,salary,hard worker,yes,Scientist
81,5,3,4,8,8,yes,yes,no,shell programming,data science,yes,no,excellent,excellent,Software Engineering,Business process analyst,job,Testing and Maintainance Services,yes,no,Horror,salary,gentle,work,hard worker,no,Stock Investor
82,7,9,1,3,6,yes,yes,no,machine learning,hacking,yes,no,medium,excellent,Software Engineering,Business process analyst,higherstudies,Testing and Maintainance Services,no,yes,Dictionaries,salary,gentle,work,smart worker,yes,Stock Investor
74,10,9,5,2,4,yes,yes,no,machine learning,system designing,yes,no,poor,poor,data engineering,security,higherstudies,product development,no,no,Autobiographies,Work,gentle,salary,smart worker,yes,Doctor
77,6,7,4,3,7,no,no,no,shell programming,testing,no,yes,poor,excellent,data engineering,Business process analyst,job,Sales and Marketing,yes,no,Romance,Work,stubborn,work,hard worker,yes,Business Owner
85,11,9,2,9,1,no,yes,no,python,cloud computing,yes,yes,poor,excellent,Software Engineering,cloud computing,higherstudies,Cloud Services,yes,yes,Fantasy,salary,gentle,work,hard worker,no,Banker
79,11,6,6,7,7,yes,no,yes,distro making,data science,yes,no,medium,excellent,Software Engineering,testing,job,Service Based,no,yes,Self help,Work,gentle,work,smart worker,yes,Business Owner
67,10,5,4,5,6,yes,yes,no,hadoop,game development,yes,no,medium,poor,Computer Architecture,cloud computing,job,Web Services,no,no,Science fiction,Work,stubborn,salary,smart worker,yes,Lawyer
68,7,2,6,1,6,yes,yes,no,r programming,hacking,no,yes,poor,medium,cloud computing,developer,higherstudies,BPA,no,yes,Series,Work,stubborn,salary,smart worker,yes,Lawyer
63,8,7,6,8,1,yes,yes,yes,distro making,hacking,yes,no,poor,poor,data engineering,developer,job,Sales and Marketing,no,yes,Health,Work,stubborn,salary,smart worker,yes,Accountant
92,4,2,5,4,5,no,yes,no,full stack,database security,yes,no,poor,excellent,networks,developer,higherstudies,BPA,yes,no,Journals,salary,stubborn,work,hard worker,yes,Banker
77,7,6,5,7,3,no,yes,no,app development,data science,yes,yes,medium,medium,parallel computing,testing,job,BPA,yes,no,Guide,Work,gentle,salary,smart worker,no,Stock Investor
75,11,5,6,8,4,yes,no,no,r programming,web technologies,no,no,excellent,medium,hacking,developer,job,BPA,yes,no,Anthology,salary,gentle,work,smart worker,no,Doctor
82,7,6,4,8,3,no,yes,no,machine learning,game development,no,no,poor,excellent,data engineering,testing,job,Testing and Maintainance Services,yes,no,Diaries,Work,stubborn,work,smart worker,yes,Doctor
79,4,6,3,2,2,yes,yes,no,information security,web technologies,no,yes,excellent,excellent,IOT,cloud computing,job,Service Based,no,yes,Art,salary,stubborn,work,smart worker,yes,Doctor
83,6,8,0,5,2,no,yes,yes,information security,hacking,yes,no,poor,excellent,cloud computing,cloud computing,job,Cloud Services,yes,yes,Science,salary,gentle,work,hard worker,no,Scientist
91,9,2,2,4,4,no,yes,yes,machine learning,web technologies,yes,no,poor,poor,Computer Architecture,security,job,BPA,no,no,Horror,Work,stubborn,salary,smart worker,yes,Banker
79,11,5,2,6,3,yes,yes,no,information security,game development,yes,yes,poor,medium,hacking,developer,job,Product based,yes,yes,Action and Adventure,salary,gentle,salary,smart worker,yes,Doctor
90,7,5,0,5,8,yes,yes,yes,machine learning,cloud computing,no,no,medium,medium,cloud computing,testing,job,BPA,yes,no,Self help,Work,gentle,salary,hard worker,yes,Scientist
84,8,7,4,9,7,yes,yes,no,hadoop,data science,no,no,excellent,poor,IOT,security,higherstudies,Web Services,yes,no,Journals,salary,stubborn,salary,hard worker,yes,Banker
79,8,1,6,9,8,yes,no,yes,information security,system designing,yes,yes,poor,medium,data engineering,Business process analyst,job,product development,yes,no,Action and Adventure,Work,stubborn,salary,hard worker,yes,Doctor
91,10,9,2,5,8,no,no,no,r programming,database security,no,yes,medium,poor,Management,developer,job,Testing and Maintainance Services,no,no,Journals,salary,gentle,work,hard worker,yes,Banker
63,7,7,5,4,9,yes,no,yes,shell programming,testing,yes,yes,medium,poor,networks,Business process analyst,job,Sales and Marketing,yes,yes,Dictionaries,salary,gentle,work,smart worker,yes,Software Engineer
73,7,7,5,8,3,no,no,yes,hadoop,cloud computing,no,no,poor,poor,Software Engineering,system developer,higherstudies,BPA,yes,no,Satire,Work,gentle,work,smart worker,yes,Business Owner
93,7,2,1,8,8,no,yes,no,app development,hacking,yes,yes,medium,medium,hacking,Business process analyst,higherstudies,Web Services,no,no,Art,salary,gentle,salary,hard worker,yes,Game Developer
70,8,5,6,6,6,no,yes,no,shell programming,database security,no,no,medium,poor,Management,system developer,higherstudies,product development,yes,yes,Prayer books,Work,gentle,salary,hard worker,yes,Lawyer
66,8,5,3,3,7,no,no,no,python,data science,yes,yes,poor,poor,hacking,security,higherstudies,Service Based,yes,yes,Romance,Work,gentle,work,hard worker,yes,Lawyer
88,4,1,3,7,5,no,yes,yes,python,hacking,yes,yes,excellent,medium,hacking,testing,job,SAaS services,yes,yes,Series,salary,gentle,salary,smart worker,yes,Scientist
71,4,6,4,8,6,no,yes,no,machine learning,game development,yes,yes,poor,medium,networks,security,job,SAaS services,yes,yes,Journals,Work,gentle,salary,hard worker,yes,Accountant
82,5,5,0,6,6,yes,no,yes,information security,system designing,no,no,medium,excellent,programming,testing,job,Testing and Maintainance Services,yes,no,Health,salary,gentle,salary,hard worker,yes,Stock Investor
93,6,6,0,1,9,no,yes,no,distro making,testing,yes,no,medium,excellent,Software Engineering,system developer,job,Web Services,yes,no,Diaries,salary,stubborn,salary,smart worker,yes,Game Developer
81,4,1,2,2,8,yes,no,no,machine learning,data science,no,yes,medium,medium,networks,system developer,job,Sales and Marketing,no,yes,Cookbooks,salary,gentle,salary,smart worker,yes,Doctor
60,5,2,4,9,9,yes,yes,yes,r programming,web technologies,yes,yes,medium,medium,Software Engineering,security,higherstudies,Service Based,yes,no,Comics,salary,gentle,salary,smart worker,no,Software Engineer
72,12,7,3,8,4,yes,no,yes,shell programming,cloud computing,no,no,medium,poor,hacking,developer,higherstudies,BPA,yes,yes,Dictionaries,Work,stubborn,work,hard worker,no,Doctor
67,9,9,3,2,9,yes,no,no,hadoop,system designing,no,no,medium,poor,Management,Business process analyst,higherstudies,Web Services,yes,no,Satire,salary,stubborn,work,hard worker,no,Lawyer
86,5,3,2,7,6,no,no,no,r programming,data science,yes,no,excellent,excellent,hacking,developer,job,Web Services,yes,no,Series,Work,gentle,work,hard worker,no,Scientist
84,6,9,2,5,3,yes,yes,yes,shell programming,testing,yes,yes,poor,poor,data engineering,system developer,higherstudies,Testing and Maintainance Services,yes,yes,Action and Adventure,Work,stubborn,salary,hard worker,yes,Game Developer
86,4,4,0,7,5,no,no,no,python,database security,yes,yes,poor,poor,programming,security,higherstudies,product development,no,yes,Poetry,Work,stubborn,work,smart worker,yes,Scientist
65,11,1,6,5,4,no,yes,no,machine learning,cloud computing,no,yes,poor,medium,hacking,Business process analyst,job,SAaS services,no,no,Biographies,Work,stubborn,salary,hard worker,no,Software Engineer
80,9,9,6,4,9,yes,no,no,distro making,data science,no,no,medium,excellent,parallel computing,cloud computing,higherstudies,Product based,no,yes,Diaries,salary,stubborn,salary,smart worker,yes,Doctor
69,8,2,6,2,7,no,no,yes,distro making,web technologies,no,no,excellent,excellent,Software Engineering,system developer,higherstudies,Sales and Marketing,yes,yes,Self help,Work,stubborn,work,hard worker,yes,Lawyer
77,12,5,6,4,8,yes,yes,no,shell programming,data science,no,yes,poor,poor,networks,security,job,Web Services,yes,no,Religion-Spirituality,Work,stubborn,salary,hard worker,yes,Business Owner
66,12,2,5,4,4,yes,yes,no,distro making,database security,no,no,medium,poor,parallel computing,Business process analyst,job,BPA,no,no,Romance,salary,gentle,work,smart worker,yes,Lawyer
73,6,7,2,2,1,no,no,no,full stack,hacking,yes,yes,excellent,excellent,Management,testing,higherstudies,Product based,yes,no,Health,salary,gentle,salary,hard worker,no,Stock Investor
62,5,5,6,6,2,no,no,no,python,system designing,yes,yes,medium,poor,cloud computing,cloud computing,job,Finance,yes,yes,Action and Adventure,salary,stubborn,work,hard worker,no,Software Engineer
82,7,3,4,8,2,yes,no,no,r programming,web technologies,yes,yes,excellent,medium,Management,testing,higherstudies,Sales and Marketing,no,yes,Encyclopedias,salary,stubborn,work,smart worker,yes,Stock Investor
93,8,9,2,9,8,yes,yes,yes,shell programming,data science,no,yes,poor,excellent,Software Engineering,security,higherstudies,Cloud Services,no,no,Series,salary,gentle,work,smart worker,yes,Scientist
78,8,6,5,2,6,yes,yes,yes,machine learning,hacking,no,no,poor,excellent,hacking,system developer,higherstudies,Finance,yes,no,Fantasy,salary,stubborn,work,hard worker,yes,Stock Investor
73,7,6,1,3,1,yes,yes,yes,hadoop,web technologies,yes,yes,poor,excellent,IOT,cloud computing,higherstudies,Cloud Services,yes,yes,Health,Work,stubborn,salary,smart worker,no,Stock Investor
77,8,1,0,3,7,no,yes,yes,python,system designing,no,yes,poor,excellent,programming,Business process analyst,higherstudies,Cloud Services,no,yes,Health,Work,gentle,work,hard worker,yes,Stock Investor
79,11,6,6,3,2,no,yes,no,full stack,system designing,no,yes,excellent,excellent,programming,Business process analyst,job,product development,no,no,Health,salary,gentle,salary,hard worker,no,Stock Investor
94,9,6,4,8,4,no,yes,no,shell programming,web technologies,yes,no,poor,excellent,networks,security,job,Finance,yes,yes,Diaries,salary,stubborn,work,smart worker,yes,Game Developer
83,7,4,6,1,2,yes,no,yes,information security,hacking,yes,no,poor,medium,Software Engineering,testing,higherstudies,Sales and Marketing,yes,no,Action and Adventure,salary,gentle,salary,hard worker,yes,Game Developer
67,12,4,6,6,7,no,yes,yes,information security,data science,no,no,excellent,excellent,IOT,developer,higherstudies,SAaS services,no,no,Travel,Work,stubborn,salary,hard worker,no,Lawyer
83,5,8,3,9,7,no,yes,yes,r programming,data science,yes,no,medium,poor,hacking,system developer,higherstudies,Web Services,yes,no,Travel,salary,gentle,work,hard worker,no,Scientist
84,12,8,5,2,5,yes,yes,yes,r programming,data science,no,no,excellent,poor,hacking,security,higherstudies,SAaS services,no,no,Trilogy,Work,gentle,salary,hard worker,yes,Scientist
81,8,9,6,2,2,yes,no,yes,full stack,hacking,yes,no,poor,medium,networks,testing,job,Product based,no,yes,Diaries,salary,stubborn,work,smart worker,yes,Doctor
77,10,6,4,5,7,no,yes,no,hadoop,cloud computing,no,yes,medium,medium,cloud computing,system developer,job,Service Based,yes,yes,Trilogy,Work,stubborn,salary,smart worker,yes,Business Owner
68,7,4,2,5,8,no,no,no,distro making,testing,no,yes,poor,excellent,programming,testing,higherstudies,SAaS services,no,no,Horror,salary,stubborn,work,hard worker,no,Accountant
60,9,7,2,1,4,yes,no,no,r programming,database security,yes,yes,excellent,excellent,Software Engineering,cloud computing,job,Cloud Services,yes,no,Poetry,Work,stubborn,work,hard worker,no,Lawyer
89,12,7,5,1,6,no,no,no,r programming,data science,yes,no,poor,poor,hacking,cloud computing,higherstudies,BPA,yes,yes,History,salary,gentle,salary,smart worker,no,Banker
61,7,7,0,6,6,no,no,yes,full stack,hacking,no,no,medium,excellent,IOT,testing,higherstudies,Product based,no,no,Satire,Work,gentle,salary,hard worker,no,Lawyer
84,8,1,4,3,4,yes,yes,yes,r programming,game development,yes,yes,poor,excellent,Management,cloud computing,higherstudies,Web Services,yes,no,Health,Work,stubborn,work,hard worker,yes,Banker
60,6,1,1,2,4,yes,no,no,r programming,data science,no,no,poor,poor,data engineering,testing,job,Testing and Maintainance Services,no,no,Cookbooks,salary,gentle,salary,hard worker,yes,Software Engineer
66,7,1,2,9,5,yes,no,no,shell programming,database security,yes,no,poor,medium,data engineering,developer,job,product development,yes,no,Mystery,Work,stubborn,work,smart worker,no,Accountant
78,11,1,0,2,6,no,no,no,r programming,web technologies,yes,no,excellent,medium,networks,security,job,BPA,no,no,Series,Work,gentle,salary,smart worker,yes,Business Owner
73,11,4,6,4,8,no,no,yes,shell programming,system designing,no,yes,poor,medium,hacking,Business process analyst,higherstudies,Product based,yes,no,Guide,salary,gentle,salary,smart worker,no,Stock Investor
77,11,7,5,2,5,yes,yes,yes,distro making,testing,yes,no,medium,medium,IOT,testing,higherstudies,Testing and Maintainance Services,yes,no,History,Work,gentle,salary,hard worker,no,Stock Investor
71,4,9,1,6,2,yes,no,yes,app development,data science,no,yes,poor,excellent,parallel computing,Business process analyst,job,SAaS services,yes,no,Childrens,Work,gentle,salary,smart worker,no,Doctor
72,8,7,3,7,7,no,yes,no,distro making,web technologies,yes,no,excellent,medium,Software Engineering,Business process analyst,job,Product based,no,yes,Satire,Work,stubborn,salary,smart worker,no,Business Owner
68,6,2,6,1,7,yes,yes,no,information security,cloud computing,yes,yes,excellent,poor,data engineering,Business process analyst,job,Cloud Services,no,no,Self help,Work,stubborn,work,smart worker,yes,Lawyer
76,4,7,3,8,1,no,no,yes,hadoop,web technologies,yes,no,medium,excellent,IOT,cloud computing,job,Cloud Services,yes,no,Autobiographies,Work,gentle,salary,smart worker,no,Doctor
61,6,7,5,2,8,yes,yes,no,hadoop,cloud computing,yes,yes,poor,medium,Management,security,higherstudies,SAaS services,no,yes,Science,Work,stubborn,work,hard worker,no,Lawyer
78,8,5,3,8,9,yes,no,no,information security,system designing,yes,yes,medium,poor,IOT,Business process analyst,job,SAaS services,yes,no,Math,salary,stubborn,salary,smart worker,yes,Stock Investor
77,11,3,0,6,4,no,yes,yes,python,system designing,yes,no,excellent,medium,cloud computing,Business process analyst,higherstudies,SAaS services,yes,yes,Comics,Work,gentle,work,hard worker,yes,Doctor
68,5,8,1,1,5,yes,yes,yes,shell programming,web technologies,yes,yes,poor,medium,networks,security,higherstudies,Sales and Marketing,yes,no,Biographies,Work,gentle,salary,hard worker,yes,Software Engineer
87,4,6,6,7,8,yes,yes,no,hadoop,data science,no,yes,excellent,excellent,hacking,testing,job,Cloud Services,yes,yes,Comics,salary,gentle,salary,hard worker,yes,Game Developer
81,6,6,2,2,8,no,yes,yes,shell programming,game development,yes,no,excellent,poor,cloud computing,security,job,product development,yes,yes,Satire,Work,gentle,salary,smart worker,yes,Business Owner
73,11,3,2,3,1,no,no,yes,hadoop,testing,yes,no,poor,medium,IOT,developer,job,Service Based,no,no,Horror,Work,stubborn,salary,hard worker,yes,Stock Investor
62,4,8,4,3,8,yes,yes,yes,r programming,game development,yes,yes,medium,excellent,hacking,system developer,job,Finance,yes,yes,Horror,Work,stubborn,work,smart worker,no,Accountant
60,12,6,5,9,1,yes,yes,no,hadoop,data science,yes,no,excellent,medium,Computer Architecture,security,higherstudies,Cloud Services,yes,yes,Biographies,Work,gentle,work,hard worker,yes,Software Engineer
60,4,2,1,7,5,yes,no,yes,full stack,hacking,no,yes,medium,excellent,networks,testing,job,Sales and Marketing,yes,yes,Fantasy,salary,gentle,work,smart worker,no,Accountant
85,6,4,1,2,3,no,no,no,full stack,database security,yes,yes,poor,excellent,data engineering,Business process analyst,higherstudies,Product based,no,no,Biographies,salary,gentle,work,hard worker,yes,Game Developer
75,9,6,1,2,4,yes,yes,yes,information security,cloud computing,no,yes,medium,medium,Management,testing,higherstudies,Cloud Services,no,yes,Encyclopedias,salary,gentle,work,smart worker,no,Stock Investor
80,9,3,0,1,4,no,yes,no,shell programming,testing,yes,yes,excellent,medium,programming,testing,job,Sales and Marketing,yes,yes,Diaries,salary,gentle,work,hard worker,yes,Doctor
60,10,1,4,6,5,yes,yes,yes,app development,testing,yes,no,medium,excellent,hacking,system developer,job,Product based,no,yes,Journals,Work,gentle,salary,hard worker,yes,Accountant
70,5,8,3,2,1,no,no,yes,information security,testing,yes,yes,medium,excellent,cloud computing,security,higherstudies,Web Services,yes,yes,Health,Work,stubborn,salary,hard worker,no,Accountant
67,11,4,6,5,9,no,no,yes,machine learning,database security,no,yes,medium,excellent,programming,system developer,higherstudies,Testing and Maintainance Services,yes,no,Childrens,salary,gentle,work,hard worker,yes,Software Engineer
70,9,7,3,1,3,yes,yes,yes,python,cloud computing,yes,no,medium,excellent,programming,security,job,SAaS services,yes,no,Science,Work,gentle,work,smart worker,no,Lawyer
90,11,5,6,5,5,yes,yes,no,full stack,data science,no,yes,excellent,poor,programming,testing,higherstudies,product development,yes,no,Diaries,Work,stubborn,work,smart worker,yes,Game Developer
63,12,3,3,2,1,no,yes,no,shell programming,system designing,yes,yes,medium,excellent,networks,cloud computing,job,SAaS services,yes,no,Comics,salary,gentle,salary,hard worker,no,Software Engineer
88,10,3,0,5,3,yes,yes,no,information security,database security,no,yes,excellent,poor,IOT,cloud computing,higherstudies,Finance,yes,yes,Science fiction,Work,gentle,work,hard worker,no,Scientist
77,5,3,5,4,3,yes,no,no,shell programming,game development,yes,yes,excellent,medium,cloud computing,cloud computing,job,Web Services,no,yes,Trilogy,salary,gentle,work,hard worker,yes,Business Owner
88,9,3,6,2,3,no,yes,yes,r programming,cloud computing,no,yes,medium,poor,Software Engineering,developer,higherstudies,Finance,no,yes,Science fiction,Work,gentle,work,hard worker,no,Scientist
69,10,3,4,9,7,yes,no,no,python,system designing,yes,yes,poor,medium,Computer Architecture,cloud computing,job,Product based,no,yes,Prayer books,salary,gentle,work,smart worker,no,Lawyer
88,10,1,5,6,8,yes,yes,yes,machine learning,hacking,yes,no,poor,medium,data engineering,developer,higherstudies,Testing and Maintainance Services,yes,no,Horror,Work,stubborn,salary,hard worker,no,Banker
71,12,6,4,1,4,no,no,no,r programming,hacking,yes,yes,poor,medium,Management,system developer,job,Web Services,no,no,Drama,Work,stubborn,work,hard worker,no,Accountant
89,11,9,6,3,5,yes,yes,yes,machine learning,hacking,no,no,poor,medium,networks,security,job,Cloud Services,yes,yes,Anthology,salary,stubborn,salary,smart worker,yes,Game Developer
79,10,8,2,7,3,yes,yes,no,full stack,game development,no,no,medium,poor,data engineering,developer,higherstudies,Product based,yes,no,History,Work,stubborn,work,hard worker,no,Stock Investor
71,5,3,6,5,7,yes,yes,no,r programming,data science,yes,no,excellent,excellent,Management,testing,job,Product based,no,yes,Anthology,Work,stubborn,salary,smart worker,yes,Doctor
71,11,7,6,3,1,no,no,yes,r programming,system designing,no,yes,poor,poor,programming,system developer,job,Cloud Services,no,yes,Prayer books,Work,stubborn,work,hard worker,yes,Business Owner
77,7,3,3,3,6,yes,yes,no,python,database security,yes,no,poor,excellent,programming,system developer,higherstudies,Finance,yes,no,Action and Adventure,Work,gentle,work,hard worker,no,Doctor
60,5,8,6,3,5,yes,yes,yes,r programming,testing,yes,no,medium,excellent,hacking,testing,higherstudies,Product based,yes,yes,Anthology,Work,gentle,work,smart worker,yes,Software Engineer
92,9,6,4,6,6,yes,no,yes,r programming,testing,yes,yes,excellent,excellent,Computer Architecture,developer,job,Web Services,no,no,Biographies,Work,stubborn,work,hard worker,no,Game Developer
78,12,3,6,7,2,no,no,no,information security,data science,no,no,poor,excellent,Software Engineering,testing,job,Sales and Marketing,no,no,Self help,salary,gentle,salary,hard worker,yes,Business Owner
68,4,5,3,8,1,yes,yes,yes,r programming,system designing,no,no,medium,excellent,cloud computing,testing,higherstudies,Product based,no,yes,Self help,Work,stubborn,work,smart worker,no,Lawyer
77,9,1,0,9,6,yes,yes,yes,app development,cloud computing,no,yes,excellent,medium,data engineering,cloud computing,higherstudies,Testing and Maintainance Services,yes,no,Romance,Work,stubborn,salary,hard worker,yes,Business Owner
81,9,7,1,4,4,yes,yes,yes,machine learning,data science,yes,no,excellent,poor,Computer Architecture,Business process analyst,job,SAaS services,no,yes,Self help,salary,gentle,work,smart worker,yes,Business Owner
81,7,5,4,9,3,yes,no,yes,machine learning,game development,no,yes,excellent,poor,Management,cloud computing,higherstudies,Product based,no,no,Science,salary,stubborn,work,hard worker,yes,Business Owner
62,4,8,2,3,8,yes,no,no,r programming,game development,no,yes,excellent,excellent,data engineering,Business process analyst,higherstudies,product development,yes,yes,Trilogy,Work,stubborn,work,smart worker,no,Lawyer
93,6,7,4,7,3,yes,no,yes,information security,data science,yes,yes,medium,medium,Management,Business process analyst,job,BPA,yes,no,Horror,Work,stubborn,salary,hard worker,yes,Banker
62,5,7,1,1,7,yes,no,no,full stack,system designing,yes,yes,excellent,medium,parallel computing,testing,higherstudies,BPA,no,yes,Horror,salary,stubborn,salary,smart worker,no,Accountant
87,4,8,5,8,7,yes,no,no,machine learning,system designing,no,yes,poor,medium,parallel computing,developer,job,Service Based,no,no,Art,salary,gentle,salary,smart worker,no,Game Developer
94,12,4,5,2,6,yes,no,yes,python,hacking,yes,no,medium,poor,data engineering,testing,higherstudies,Product based,no,yes,Drama,Work,gentle,work,hard worker,no,Banker
75,12,2,6,6,6,yes,no,no,machine learning,database security,yes,no,poor,poor,parallel computing,system developer,higherstudies,BPA,no,yes,Romance,salary,gentle,work,smart worker,no,Business Owner
79,9,8,5,6,3,no,no,yes,r programming,hacking,yes,no,poor,poor,Management,security,job,BPA,yes,yes,Travel,salary,gentle,work,hard worker,yes,Business Owner
76,12,7,5,6,6,yes,no,no,shell programming,system designing,yes,yes,medium,excellent,IOT,cloud computing,higherstudies,Web Services,yes,no,Prayer books,Work,stubborn,work,hard worker,yes,Business Owner
64,5,1,0,6,1,yes,yes,no,app development,testing,no,no,poor,medium,IOT,cloud computing,higherstudies,Web Services,no,no,Mystery,Work,stubborn,salary,smart worker,no,Accountant
64,9,4,4,6,1,yes,no,no,shell programming,game development,yes,no,medium,medium,Computer Architecture,testing,job,Sales and Marketing,yes,no,Biographies,salary,stubborn,salary,hard worker,no,Software Engineer
70,6,4,2,5,6,yes,no,no,python,hacking,no,yes,poor,medium,data engineering,Business process analyst,job,Sales and Marketing,yes,yes,Guide,salary,gentle,work,hard worker,no,Accountant
79,5,3,3,3,1,yes,yes,yes,hadoop,cloud computing,yes,no,medium,poor,Software Engineering,Business process analyst,job,Cloud Services,no,no,Self help,salary,stubborn,salary,hard worker,no,Business Owner
76,6,5,5,5,3,no,yes,yes,app development,testing,no,yes,excellent,medium,networks,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Childrens,Work,stubborn,salary,smart worker,no,Doctor
84,8,9,5,7,2,no,no,yes,r programming,data science,yes,no,medium,excellent,networks,Business process analyst,job,Finance,yes,no,Horror,Work,gentle,salary,smart worker,no,Banker
88,12,1,3,9,3,no,yes,yes,hadoop,cloud computing,yes,no,medium,medium,Software Engineering,developer,job,Web Services,yes,yes,Science fiction,salary,gentle,salary,smart worker,no,Scientist
60,10,3,6,9,9,yes,no,no,r programming,testing,yes,yes,excellent,excellent,hacking,Business process analyst,higherstudies,BPA,no,yes,Satire,salary,gentle,work,smart worker,yes,Lawyer
87,5,4,0,6,6,yes,no,yes,full stack,cloud computing,no,no,medium,poor,Management,Business process analyst,higherstudies,Service Based,no,yes,Science fiction,salary,gentle,work,smart worker,no,Scientist
62,12,5,6,3,9,no,no,no,app development,cloud computing,no,no,excellent,poor,parallel computing,testing,job,Web Services,no,yes,Anthology,Work,gentle,salary,hard worker,no,Software Engineer
61,6,8,2,8,1,no,yes,yes,app development,web technologies,yes,yes,excellent,poor,Computer Architecture,cloud computing,job,Product based,yes,no,Horror,salary,stubborn,work,smart worker,yes,Accountant
62,11,4,0,4,5,yes,yes,no,information security,hacking,yes,no,medium,medium,IOT,security,higherstudies,product development,yes,no,Health,salary,stubborn,salary,smart worker,yes,Accountant
