SL NO,GENDER,HIN,ENG,MATH,GEO,HIST,SCIENCE,BIO,HOBBY,INTEREST,SPORTS,ACHIEVEMENTS,LANGUAGE,AVG,STREAM
52406,Female,82,76,62,54,69,64,42,Cooking,Programming,Basketball,Athletics competition winner,English,64.14285714285714,Commerce
28836,Female,93,63,78,84,83,50,51,Gardening,Dance,Tennis,Science fair winner,Hindi,71.71428571428571,Commerce
88031,Female,46,70,69,56,73,52,65,Music,Dance,Cricket,Debate competition winner,English,61.57142857142857,Commerce
81359,Female,56,74,59,65,46,61,69,Cooking,Cooking,Football,Dance competition winner,Hindi,61.42857142857143,Commerce
52491,Male,61,63,93,91,76,44,48,Gardening,Art,Athletics,Art competition winner,Hindi,68.0,Commerce
58871,Female,63,55,83,49,91,43,53,Cooking,Programming,Football,Debate competition winner,Hindi,62.42857142857143,Commerce
46489,Male,72,50,65,43,74,58,53,Sports,Science,Tennis,Dance competition winner,English,59.285714285714285,Commerce
74030,Female,45,59,68,56,69,73,46,Cooking,Art,Table Tennis,Athletics competition winner,Hindi,59.42857142857143,Commerce
96257,Male,74,85,97,83,93,50,42,Photography,Cooking,Basketball,Math Olympiad winner,Hindi,74.85714285714286,Commerce
70123,Female,58,47,51,50,48,72,49,Cooking,History,Volleyball,Music competition winner,English,53.57142857142857,Commerce
53038,Male,84,80,60,47,55,44,44,Reading,Photography,Cricket,Chess competition winner,Hindi,59.142857142857146,Commerce
41072,Female,65,92,72,100,82,41,57,Sports,Art,Table Tennis,Debate competition winner,English,72.71428571428571,Commerce
9397,Female,83,56,58,56,80,73,43,Drawing,Art,Football,Chess competition winner,Hindi,64.14285714285714,Commerce
14302,Female,95,44,67,77,87,49,59,Gardening,Art,Swimming,Chess competition winner,Hindi,68.28571428571429,Commerce
89913,Female,95,97,87,92,60,57,48,Sports,Music,Volleyball,Dance competition winner,English,76.57142857142857,Commerce
58784,Male,85,92,84,100,93,49,46,Gardening,History,Swimming,Art competition winner,English,78.42857142857143,Commerce
17575,Male,53,46,66,94,50,45,60,Reading,Photography,Football,Music competition winner,Hindi,59.142857142857146,Commerce
35602,Male,94,41,82,93,53,52,57,Sports,History,Table Tennis,Athletics competition winner,Hindi,67.42857142857143,Commerce
89539,Male,64,56,44,87,60,44,72,Music,History,Tennis,Debate competition winner,Hindi,61.0,Commerce
55189,Male,45,96,41,89,57,65,70,Gardening,Photography,Athletics,Debate competition winner,English,66.14285714285714,Commerce
3469,Female,41,73,63,100,100,51,57,Gardening,Cooking,Football,Chess competition winner,Hindi,69.28571428571429,Commerce
80815,Female,68,78,68,98,85,54,65,Drawing,Cooking,Cricket,Math Olympiad winner,English,73.71428571428571,Commerce
56190,Male,73,99,80,66,47,43,44,Reading,Science,Swimming,Music competition winner,English,64.57142857142857,Commerce
17947,Male,58,97,86,70,91,52,47,Travelling,Photography,Cricket,Art competition winner,Hindi,71.57142857142857,Commerce
20692,Male,46,68,82,47,44,56,53,Photography,Art,Football,Debate competition winner,English,56.57142857142857,Commerce
41541,Female,83,89,88,42,85,42,53,Reading,Dance,Table Tennis,Math Olympiad winner,English,68.85714285714286,Commerce
29486,Male,41,53,96,76,70,59,50,Travelling,Photography,Volleyball,Dance competition winner,English,63.57142857142857,Commerce
51606,Male,61,86,94,62,81,43,59,Sports,Cooking,Cricket,Debate competition winner,English,69.42857142857143,Commerce
13344,Female,63,55,58,63,59,54,68,Reading,Music,Swimming,Dance competition winner,English,60.0,Commerce
78223,Male,86,58,46,89,86,44,63,Photography,Music,Cricket,Debate competition winner,Hindi,67.42857142857143,Commerce
74578,Male,92,55,72,79,40,49,44,Photography,Dance,Swimming,Athletics competition winner,English,61.57142857142857,Commerce
12452,Female,84,44,46,47,87,69,58,Gardening,Art,Swimming,Athletics competition winner,Hindi,62.142857142857146,Commerce
14040,Female,41,55,94,83,62,45,42,Sports,Dance,Athletics,Science fair winner,Hindi,60.285714285714285,Commerce
30972,Male,40,52,66,82,95,58,47,Music,Science,Cricket,Music competition winner,Hindi,62.857142857142854,Commerce
44018,Male,43,42,51,98,44,72,42,Cooking,Art,Cricket,Athletics competition winner,English,56.0,Commerce
63382,Male,78,92,65,50,45,56,42,Reading,Photography,Cricket,Dance competition winner,English,61.142857142857146,Commerce
96880,Male,97,75,60,79,56,51,43,Drawing,Art,Table Tennis,Music competition winner,English,65.85714285714286,Commerce
14526,Female,91,52,95,96,53,45,58,Cooking,Cooking,Athletics,Dance competition winner,English,70.0,Commerce
42366,Female,73,45,81,98,52,44,47,Photography,Photography,Football,Science fair winner,Hindi,62.857142857142854,Commerce
20809,Male,69,48,95,62,58,42,44,Photography,Programming,Basketball,Science fair winner,Hindi,59.714285714285715,Commerce
93399,Female,83,48,81,99,70,42,42,Cooking,Dance,Football,Chess competition winner,English,66.42857142857143,Commerce
85748,Female,94,48,53,41,48,71,63,Cooking,Programming,Basketball,Debate competition winner,English,59.714285714285715,Commerce
42198,Male,74,77,78,56,89,47,47,Drawing,History,Swimming,Chess competition winner,English,66.85714285714286,Commerce
76726,Male,55,96,56,68,53,68,64,Reading,Photography,Basketball,Math Olympiad winner,Hindi,65.71428571428571,Commerce
30505,Male,81,97,48,56,100,65,69,Reading,Music,Football,Art competition winner,English,73.71428571428571,Commerce
66517,Female,71,54,47,95,77,71,57,Reading,Programming,Table Tennis,Math Olympiad winner,English,67.42857142857143,Commerce
64993,Male,49,98,61,92,57,40,74,Music,Art,Volleyball,Art competition winner,Hindi,67.28571428571429,Commerce
21059,Female,41,83,60,55,72,69,68,Gardening,Dance,Volleyball,Debate competition winner,English,64.0,Commerce
35990,Male,69,51,63,51,77,68,41,Music,Cooking,Football,Math Olympiad winner,Hindi,60.0,Commerce
2209,Female,43,86,93,68,81,54,51,Sports,History,Volleyball,Math Olympiad winner,Hindi,68.0,Commerce
73255,Male,71,90,77,48,100,47,45,Drawing,Photography,Basketball,Music competition winner,English,68.28571428571429,Commerce
59213,Female,97,63,52,47,55,43,63,Gardening,Photography,Table Tennis,Debate competition winner,English,60.0,Commerce
72772,Female,94,86,85,90,63,44,44,Travelling,History,Table Tennis,Chess competition winner,Hindi,72.28571428571429,Commerce
45274,Female,51,71,40,81,46,52,73,Gardening,Art,Swimming,Art competition winner,English,59.142857142857146,Commerce
45004,Male,76,58,44,72,94,72,58,Cooking,Art,Tennis,Chess competition winner,Hindi,67.71428571428571,Commerce
10582,Female,98,42,94,87,79,43,57,Drawing,Photography,Basketball,Dance competition winner,Hindi,71.42857142857143,Commerce
65806,Male,62,94,70,82,65,54,58,Sports,Photography,Table Tennis,Dance competition winner,Hindi,69.28571428571429,Commerce
4688,Male,53,80,70,43,53,65,58,Music,Music,Swimming,Athletics competition winner,English,60.285714285714285,Commerce
10173,Male,88,61,92,86,44,43,50,Sports,Photography,Basketball,Dance competition winner,English,66.28571428571429,Commerce
16348,Male,41,82,82,100,82,47,57,Cooking,Music,Table Tennis,Music competition winner,Hindi,70.14285714285714,Commerce
71763,Male,98,86,65,73,69,48,50,Travelling,Photography,Athletics,Math Olympiad winner,Hindi,69.85714285714286,Commerce
40726,Female,55,65,70,52,45,49,59,Drawing,Art,Athletics,Art competition winner,Hindi,56.42857142857143,Commerce
37272,Male,40,96,68,44,49,65,45,Reading,Photography,Volleyball,Music competition winner,Hindi,58.142857142857146,Commerce
48019,Female,90,42,69,78,67,60,41,Music,Programming,Swimming,Debate competition winner,Hindi,63.857142857142854,Commerce
11127,Female,50,63,48,54,94,41,61,Music,Photography,Tennis,Science fair winner,Hindi,58.714285714285715,Commerce
91978,Female,55,88,72,95,46,68,59,Gardening,Art,Swimming,Art competition winner,Hindi,69.0,Commerce
10457,Male,73,93,67,61,64,47,54,Drawing,Programming,Swimming,Dance competition winner,Hindi,65.57142857142857,Commerce
81394,Male,86,93,72,72,56,52,57,Music,History,Cricket,Chess competition winner,Hindi,69.71428571428571,Commerce
53137,Male,65,69,57,88,83,53,73,Music,Dance,Athletics,Art competition winner,Hindi,69.71428571428571,Commerce
74039,Male,91,86,67,43,97,56,42,Travelling,History,Volleyball,Debate competition winner,English,68.85714285714286,Commerce
97589,Female,75,73,52,65,47,53,74,Photography,Programming,Basketball,Math Olympiad winner,Hindi,62.714285714285715,Commerce
35347,Female,70,95,80,66,96,55,47,Travelling,Programming,Table Tennis,Chess competition winner,English,72.71428571428571,Commerce
73753,Female,55,74,51,46,74,43,69,Reading,Programming,Basketball,Dance competition winner,Hindi,58.857142857142854,Commerce
48461,Male,69,52,85,70,55,44,58,Cooking,Art,Swimming,Debate competition winner,English,61.857142857142854,Commerce
31329,Male,95,45,88,55,55,52,42,Gardening,Cooking,Football,Dance competition winner,English,61.714285714285715,Commerce
88681,Female,47,70,54,53,64,45,60,Drawing,Music,Football,Chess competition winner,Hindi,56.142857142857146,Commerce
89482,Male,96,57,50,86,86,44,60,Drawing,Programming,Tennis,Music competition winner,Hindi,68.42857142857143,Commerce
80783,Female,98,91,76,69,49,59,46,Sports,History,Cricket,Science fair winner,Hindi,69.71428571428571,Commerce
17204,Female,44,65,62,52,59,45,49,Sports,Music,Basketball,Science fair winner,English,53.714285714285715,Commerce
44297,Female,45,95,93,80,45,53,49,Photography,History,Tennis,Debate competition winner,Hindi,65.71428571428571,Commerce
86570,Male,91,49,74,59,88,43,74,Cooking,Dance,Cricket,Math Olympiad winner,English,68.28571428571429,Commerce
30727,Male,49,80,74,88,83,45,60,Music,Music,Tennis,Music competition winner,Hindi,68.42857142857143,Commerce
39925,Male,93,89,70,95,57,56,50,Gardening,Music,Volleyball,Athletics competition winner,Hindi,72.85714285714286,Commerce
14476,Male,82,49,53,52,93,72,67,Photography,Photography,Football,Debate competition winner,English,66.85714285714286,Commerce
33410,Female,53,88,61,99,51,52,63,Drawing,Music,Cricket,Math Olympiad winner,Hindi,66.71428571428571,Commerce
97352,Male,58,93,41,90,53,40,69,Cooking,Dance,Basketball,Music competition winner,Hindi,63.42857142857143,Commerce
16609,Female,97,54,66,96,73,57,53,Photography,History,Football,Math Olympiad winner,English,70.85714285714286,Commerce
97016,Female,73,73,100,58,85,57,59,Travelling,Science,Swimming,Debate competition winner,English,72.14285714285714,Commerce
61303,Male,67,75,83,89,92,41,44,Music,Programming,Swimming,Math Olympiad winner,Hindi,70.14285714285714,Commerce
56047,Male,41,99,80,44,63,43,42,Drawing,Photography,Basketball,Art competition winner,Hindi,58.857142857142854,Commerce
37917,Female,96,51,75,40,71,56,47,Sports,Cooking,Volleyball,Math Olympiad winner,Hindi,62.285714285714285,Commerce
75086,Male,88,75,68,86,75,48,58,Reading,Art,Tennis,Math Olympiad winner,English,71.14285714285714,Commerce
26289,Male,42,45,67,99,68,46,44,Gardening,Cooking,Table Tennis,Chess competition winner,English,58.714285714285715,Commerce
32928,Male,46,97,73,84,69,46,69,Drawing,Dance,Volleyball,Music competition winner,Hindi,69.14285714285714,Commerce
17178,Male,73,69,67,68,82,42,74,Gardening,History,Tennis,Science fair winner,Hindi,67.85714285714286,Commerce
98582,Female,66,96,55,80,98,40,68,Reading,Cooking,Table Tennis,Art competition winner,English,71.85714285714286,Commerce
18960,Male,43,81,71,89,76,64,54,Gardening,Cooking,Table Tennis,Debate competition winner,Hindi,68.28571428571429,Commerce
14990,Male,55,85,44,69,63,49,61,Drawing,Dance,Football,Math Olympiad winner,Hindi,60.857142857142854,Commerce
77269,Female,97,96,76,73,56,41,55,Drawing,Cooking,Volleyball,Science fair winner,English,70.57142857142857,Commerce
90859,Male,44,90,62,48,70,64,59,Travelling,Programming,Swimming,Art competition winner,Hindi,62.42857142857143,Commerce
19610,Male,83,83,79,45,73,44,47,Reading,Photography,Tennis,Science fair winner,English,64.85714285714286,Commerce
77406,Male,52,63,84,74,80,51,47,Travelling,Photography,Table Tennis,Music competition winner,English,64.42857142857143,Commerce
14809,Male,77,46,65,57,89,65,42,Drawing,Photography,Volleyball,Athletics competition winner,Hindi,63.0,Commerce
4539,Male,70,88,76,40,43,58,41,Photography,Music,Tennis,Art competition winner,Hindi,59.42857142857143,Commerce
93557,Male,96,64,57,77,79,73,54,Drawing,Photography,Tennis,Debate competition winner,Hindi,71.42857142857143,Commerce
5979,Male,95,77,45,89,67,66,49,Gardening,Photography,Table Tennis,Dance competition winner,English,69.71428571428571,Commerce
95855,Female,87,88,62,42,70,46,54,Gardening,Art,Table Tennis,Art competition winner,Hindi,64.14285714285714,Commerce
80615,Male,56,95,91,40,75,58,57,Music,Cooking,Table Tennis,Debate competition winner,English,67.42857142857143,Commerce
83824,Male,95,71,91,59,48,53,58,Photography,Science,Volleyball,Math Olympiad winner,English,67.85714285714286,Commerce
80777,Female,72,48,65,78,49,56,70,Music,History,Table Tennis,Athletics competition winner,Hindi,62.57142857142857,Commerce
8999,Female,75,71,71,97,40,49,51,Cooking,Photography,Table Tennis,Math Olympiad winner,Hindi,64.85714285714286,Commerce
59556,Female,98,94,66,43,95,48,45,Reading,Music,Football,Music competition winner,Hindi,69.85714285714286,Commerce
64450,Female,58,71,49,68,48,73,60,Drawing,Cooking,Swimming,Chess competition winner,English,61.0,Commerce
49543,Female,59,70,50,90,44,72,43,Cooking,Art,Cricket,Science fair winner,English,61.142857142857146,Commerce
35044,Male,78,64,68,68,92,44,73,Music,Music,Athletics,Dance competition winner,Hindi,69.57142857142857,Commerce
54867,Male,92,56,72,79,92,47,61,Music,History,Athletics,Dance competition winner,English,71.28571428571429,Commerce
75621,Male,77,78,70,47,47,59,54,Cooking,Dance,Basketball,Art competition winner,English,61.714285714285715,Commerce
32855,Female,50,50,64,95,53,68,50,Travelling,Art,Athletics,Music competition winner,English,61.42857142857143,Commerce
41810,Male,51,72,84,87,89,53,59,Travelling,Photography,Tennis,Music competition winner,Hindi,70.71428571428571,Commerce
32772,Female,72,59,50,76,89,62,46,Cooking,Cooking,Football,Dance competition winner,English,64.85714285714286,Commerce
8639,Female,43,65,45,56,79,66,58,Cooking,Cooking,Volleyball,Athletics competition winner,Hindi,58.857142857142854,Commerce
66066,Male,47,49,42,67,71,48,64,Reading,Art,Swimming,Debate competition winner,English,55.42857142857143,Commerce
60399,Male,98,47,94,64,60,43,43,Music,Dance,Athletics,Math Olympiad winner,Hindi,64.14285714285714,Commerce
62426,Female,49,54,58,86,53,72,42,Music,Music,Table Tennis,Dance competition winner,Hindi,59.142857142857146,Commerce
69836,Male,84,78,55,77,97,60,70,Music,History,Tennis,Science fair winner,Hindi,74.42857142857143,Commerce
94270,Male,56,97,40,79,51,68,43,Photography,Cooking,Basketball,Science fair winner,Hindi,62.0,Commerce
55789,Female,90,80,74,56,71,47,58,Cooking,History,Football,Chess competition winner,English,68.0,Commerce
26909,Female,86,49,71,68,61,40,58,Gardening,Cooking,Football,Art competition winner,English,61.857142857142854,Commerce
69417,Female,47,60,58,59,90,68,43,Reading,Dance,Swimming,Chess competition winner,English,60.714285714285715,Commerce
34191,Male,91,66,69,99,40,67,43,Cooking,Art,Athletics,Music competition winner,English,67.85714285714286,Commerce
94012,Female,64,82,55,40,99,67,74,Cooking,Music,Athletics,Music competition winner,Hindi,68.71428571428571,Commerce
33093,Male,55,40,100,67,72,40,40,Sports,Science,Basketball,Athletics competition winner,Hindi,59.142857142857146,Commerce
65618,Female,43,80,85,89,70,49,45,Music,Science,Tennis,Dance competition winner,English,65.85714285714286,Commerce
45004,Male,76,58,44,72,94,72,58,Cooking,Art,Tennis,Chess competition winner,Hindi,67.71428571428571,Commerce
82811,Female,92,59,60,52,79,48,52,Photography,Science,Football,Music competition winner,Hindi,63.142857142857146,Commerce
2600,Male,96,79,55,50,93,68,74,Drawing,Photography,Basketball,Debate competition winner,Hindi,73.57142857142857,Commerce
1583,Male,43,79,79,87,68,40,52,Sports,Programming,Cricket,Dance competition winner,Hindi,64.0,Commerce
67641,Male,40,46,55,69,66,58,72,Music,History,Volleyball,Science fair winner,English,58.0,Commerce
508,Male,53,100,46,46,80,64,59,Travelling,Photography,Swimming,Music competition winner,Hindi,64.0,Commerce
79984,Female,48,93,73,60,88,73,74,Drawing,Photography,Volleyball,Athletics competition winner,English,72.71428571428571,Commerce
77969,Female,86,42,62,64,69,42,53,Gardening,Photography,Swimming,Art competition winner,Hindi,59.714285714285715,Commerce
60469,Male,70,53,82,57,54,50,52,Reading,Programming,Basketball,Chess competition winner,Hindi,59.714285714285715,Commerce
45474,Female,77,92,47,65,87,64,58,Drawing,Music,Athletics,Math Olympiad winner,Hindi,70.0,Commerce
73850,Male,99,94,49,94,63,44,73,Photography,Music,Football,Athletics competition winner,English,73.71428571428571,Commerce
89097,Female,78,72,82,91,62,48,58,Travelling,Programming,Volleyball,Math Olympiad winner,Hindi,70.14285714285714,Commerce
13862,Female,78,80,65,69,62,55,61,Reading,History,Basketball,Athletics competition winner,Hindi,67.14285714285714,Commerce
23802,Male,81,64,49,56,88,44,63,Cooking,Cooking,Basketball,Athletics competition winner,English,63.57142857142857,Commerce
33790,Female,41,45,86,45,81,44,48,Photography,Science,Volleyball,Debate competition winner,Hindi,55.714285714285715,Commerce
89709,Female,46,53,99,100,46,46,45,Reading,Music,Football,Music competition winner,English,62.142857142857146,Commerce
40211,Female,86,80,71,73,44,61,72,Cooking,Photography,Volleyball,Science fair winner,English,69.57142857142857,Commerce
33058,Male,49,57,77,62,86,57,42,Travelling,Cooking,Table Tennis,Dance competition winner,English,61.42857142857143,Commerce
40374,Female,53,57,46,62,59,72,42,Drawing,History,Basketball,Science fair winner,Hindi,55.857142857142854,Commerce
31674,Female,88,76,61,57,97,51,46,Travelling,Dance,Volleyball,Science fair winner,English,68.0,Commerce
88684,Male,100,98,61,51,44,46,74,Music,History,Tennis,Athletics competition winner,Hindi,67.71428571428571,Commerce
28286,Male,84,56,91,57,53,40,42,Reading,Cooking,Athletics,Art competition winner,English,60.42857142857143,Commerce
58232,Female,58,79,65,92,70,53,44,Gardening,Dance,Basketball,Music competition winner,English,65.85714285714286,Commerce
64324,Female,96,83,46,43,82,46,74,Photography,Cooking,Basketball,Chess competition winner,Hindi,67.14285714285714,Commerce
2517,Female,90,55,60,70,45,62,72,Reading,Dance,Tennis,Art competition winner,Hindi,64.85714285714286,Commerce
94911,Female,90,41,90,43,82,52,46,Reading,Cooking,Swimming,Athletics competition winner,English,63.42857142857143,Commerce
93948,Female,65,87,41,40,57,50,63,Drawing,History,Volleyball,Math Olympiad winner,Hindi,57.57142857142857,Commerce
75745,Male,68,98,78,87,56,53,47,Sports,Dance,Table Tennis,Music competition winner,English,69.57142857142857,Commerce
85829,Female,91,64,88,68,83,48,45,Photography,Dance,Table Tennis,Dance competition winner,Hindi,69.57142857142857,Commerce
11015,Male,43,73,69,41,86,60,68,Drawing,Music,Volleyball,Chess competition winner,English,62.857142857142854,Commerce
93955,Male,61,67,69,84,63,41,40,Cooking,History,Athletics,Dance competition winner,English,60.714285714285715,Commerce
33358,Female,84,82,45,48,76,41,61,Music,Dance,Tennis,Music competition winner,Hindi,62.42857142857143,Commerce
53873,Male,82,40,69,97,97,63,49,Gardening,Photography,Basketball,Art competition winner,Hindi,71.0,Commerce
1783,Male,55,100,80,55,42,40,59,Gardening,Programming,Cricket,Athletics competition winner,Hindi,61.57142857142857,Commerce
53680,Female,90,73,61,57,59,61,71,Music,Cooking,Swimming,Chess competition winner,English,67.42857142857143,Commerce
60927,Male,94,55,69,92,59,49,58,Photography,Dance,Cricket,Debate competition winner,Hindi,68.0,Commerce
76453,Female,68,70,82,97,65,55,58,Gardening,Programming,Tennis,Debate competition winner,Hindi,70.71428571428571,Commerce
17113,Male,46,99,71,74,55,64,48,Music,Music,Table Tennis,Chess competition winner,Hindi,65.28571428571429,Commerce
74124,Female,74,49,72,65,65,65,49,Gardening,History,Table Tennis,Art competition winner,Hindi,62.714285714285715,Commerce
2547,Female,45,44,53,44,77,66,42,Reading,History,Volleyball,Athletics competition winner,English,53.0,Commerce
43586,Female,98,74,93,91,97,52,45,Reading,Cooking,Cricket,Science fair winner,English,78.57142857142857,Commerce
6344,Female,66,82,61,100,78,41,42,Reading,Cooking,Cricket,Debate competition winner,English,67.14285714285714,Commerce
6925,Male,42,80,50,95,71,70,47,Drawing,Photography,Volleyball,Debate competition winner,Hindi,65.0,Commerce
21484,Female,40,60,93,69,49,52,52,Photography,Programming,Swimming,Dance competition winner,English,59.285714285714285,Commerce
14274,Female,65,75,40,62,42,68,49,Gardening,Cooking,Volleyball,Chess competition winner,English,57.285714285714285,Commerce
67058,Female,56,95,47,90,65,51,74,Gardening,Dance,Swimming,Math Olympiad winner,English,68.28571428571429,Commerce
85214,Male,47,98,51,73,68,46,51,Music,Cooking,Football,Science fair winner,English,62.0,Humanities
13246,Male,56,87,40,96,45,40,41,Drawing,Cooking,Table Tennis,Science fair winner,English,57.857142857142854,Humanities
81590,Female,85,77,55,50,51,49,53,Travelling,Programming,Cricket,Art competition winner,Hindi,60.0,Humanities
54474,Female,73,71,57,96,50,43,46,Travelling,Photography,Athletics,Math Olympiad winner,English,62.285714285714285,Humanities
96758,Female,76,80,59,53,82,42,55,Music,Programming,Football,Music competition winner,English,63.857142857142854,Humanities
42341,Male,41,91,51,70,78,46,42,Reading,Photography,Tennis,Dance competition winner,English,59.857142857142854,Humanities
15814,Male,50,74,51,72,70,40,59,Reading,Dance,Basketball,Art competition winner,Hindi,59.42857142857143,Humanities
6647,Female,80,96,55,43,79,43,41,Travelling,Photography,Table Tennis,Art competition winner,Hindi,62.42857142857143,Humanities
79536,Female,90,100,48,50,71,40,50,Sports,Photography,Table Tennis,Art competition winner,Hindi,64.14285714285714,Humanities
40090,Female,53,97,48,75,99,51,53,Sports,Dance,Volleyball,Chess competition winner,Hindi,68.0,Humanities
23189,Male,44,86,54,97,67,45,54,Cooking,Science,Cricket,Chess competition winner,Hindi,63.857142857142854,Humanities
87504,Male,49,75,41,56,80,47,53,Sports,Art,Basketball,Dance competition winner,Hindi,57.285714285714285,Humanities
89841,Female,43,79,51,99,95,54,56,Cooking,Photography,Cricket,Chess competition winner,Hindi,68.14285714285714,Humanities
50391,Male,86,74,42,96,58,46,43,Photography,Science,Basketball,Dance competition winner,English,63.57142857142857,Humanities
56614,Male,96,83,43,71,89,46,59,Cooking,Programming,Swimming,Debate competition winner,Hindi,69.57142857142857,Humanities
99357,Female,48,79,58,95,91,50,53,Gardening,Music,Swimming,Art competition winner,Hindi,67.71428571428571,Humanities
59162,Female,84,74,59,87,40,54,52,Gardening,Programming,Cricket,Science fair winner,Hindi,64.28571428571429,Humanities
81344,Male,83,81,57,94,66,55,52,Drawing,Photography,Football,Athletics competition winner,English,69.71428571428571,Humanities
7051,Female,93,100,44,62,52,41,43,Cooking,History,Cricket,Science fair winner,English,62.142857142857146,Humanities
97780,Female,72,93,54,84,44,57,49,Drawing,Art,Tennis,Debate competition winner,English,64.71428571428571,Humanities
90399,Female,52,80,46,62,99,44,44,Gardening,Science,Cricket,Music competition winner,Hindi,61.0,Humanities
61070,Female,96,91,44,59,67,53,54,Sports,Programming,Table Tennis,Chess competition winner,Hindi,66.28571428571429,Humanities
34770,Male,58,84,45,94,63,58,45,Music,Science,Table Tennis,Science fair winner,Hindi,63.857142857142854,Humanities
52973,Female,96,90,42,85,50,46,59,Gardening,Dance,Cricket,Dance competition winner,English,66.85714285714286,Humanities
35556,Male,89,72,42,79,47,51,54,Drawing,Science,Swimming,Science fair winner,Hindi,62.0,Humanities
97631,Male,59,74,43,65,40,56,42,Gardening,Art,Football,Chess competition winner,English,54.142857142857146,Humanities
16367,Male,59,73,49,47,55,54,47,Sports,Programming,Cricket,Dance competition winner,Hindi,54.857142857142854,Humanities
87824,Male,54,76,52,72,79,42,56,Travelling,History,Basketball,Math Olympiad winner,English,61.57142857142857,Humanities
90681,Male,92,82,50,79,41,42,42,Cooking,Music,Athletics,Debate competition winner,Hindi,61.142857142857146,Humanities
8555,Male,78,71,44,48,54,44,41,Sports,Programming,Volleyball,Math Olympiad winner,Hindi,54.285714285714285,Humanities
13840,Female,87,77,58,51,90,54,59,Photography,Science,Cricket,Music competition winner,English,68.0,Humanities
15814,Male,50,74,51,72,70,40,59,Reading,Dance,Basketball,Art competition winner,Hindi,59.42857142857143,Humanities
15927,Male,54,74,53,43,47,56,40,Drawing,Cooking,Football,Art competition winner,Hindi,52.42857142857143,Humanities
53193,Female,93,76,45,42,53,47,44,Reading,Art,Football,Athletics competition winner,Hindi,57.142857142857146,Humanities
96019,Female,46,89,51,58,69,41,55,Gardening,Dance,Swimming,Debate competition winner,English,58.42857142857143,Humanities
26915,Female,48,99,54,46,82,42,54,Music,Photography,Table Tennis,Math Olympiad winner,Hindi,60.714285714285715,Humanities
94640,Male,91,92,42,49,55,46,51,Gardening,Cooking,Athletics,Math Olympiad winner,Hindi,60.857142857142854,Humanities
95139,Male,41,86,41,68,46,48,45,Cooking,Science,Basketball,Art competition winner,English,53.57142857142857,Humanities
97855,Female,78,83,40,76,67,43,40,Travelling,Music,Athletics,Science fair winner,Hindi,61.0,Humanities
58585,Female,95,71,57,59,60,52,45,Reading,Photography,Cricket,Music competition winner,Hindi,62.714285714285715,Humanities
65673,Female,83,100,48,87,56,58,53,Reading,History,Athletics,Dance competition winner,Hindi,69.28571428571429,Humanities
70559,Male,46,73,59,41,52,53,44,Sports,Photography,Volleyball,Science fair winner,Hindi,52.57142857142857,Humanities
24867,Male,90,79,41,60,62,52,50,Cooking,Science,Swimming,Science fair winner,English,62.0,Humanities
14794,Male,46,80,45,93,44,41,51,Photography,Cooking,Basketball,Chess competition winner,English,57.142857142857146,Humanities
39305,Female,76,85,49,78,52,55,56,Music,Programming,Swimming,Music competition winner,Hindi,64.42857142857143,Humanities
77068,Male,66,78,51,60,96,58,51,Gardening,Programming,Tennis,Music competition winner,English,65.71428571428571,Humanities
32551,Male,63,76,41,69,56,44,50,Cooking,Photography,Volleyball,Music competition winner,Hindi,57.0,Humanities
33299,Female,93,76,59,83,56,53,56,Reading,Cooking,Football,Music competition winner,English,68.0,Humanities
63260,Female,94,99,45,41,81,55,53,Cooking,Art,Swimming,Art competition winner,Hindi,66.85714285714286,Humanities
16754,Male,97,77,58,79,41,44,40,Drawing,Music,Table Tennis,Science fair winner,English,62.285714285714285,Humanities
64046,Female,68,74,50,89,58,48,57,Drawing,Science,Football,Chess competition winner,English,63.42857142857143,Humanities
20842,Male,60,93,41,53,96,40,52,Reading,Photography,Volleyball,Debate competition winner,English,62.142857142857146,Humanities
30460,Male,75,100,57,70,42,59,47,Music,Programming,Swimming,Dance competition winner,English,64.28571428571429,Humanities
69568,Male,87,86,51,75,77,52,44,Cooking,Photography,Football,Chess competition winner,English,67.42857142857143,Humanities
58693,Female,63,89,51,46,88,47,50,Reading,Art,Table Tennis,Chess competition winner,Hindi,62.0,Humanities
82103,Female,76,79,55,55,51,56,56,Gardening,Cooking,Volleyball,Dance competition winner,Hindi,61.142857142857146,Humanities
17471,Male,81,75,43,60,78,46,59,Cooking,Dance,Swimming,Science fair winner,Hindi,63.142857142857146,Humanities
53006,Female,76,89,47,62,66,45,57,Sports,Science,Football,Debate competition winner,Hindi,63.142857142857146,Humanities
73216,Male,76,94,58,87,60,47,47,Drawing,History,Swimming,Debate competition winner,English,67.0,Humanities
15807,Male,47,87,43,93,74,47,43,Sports,Photography,Tennis,Math Olympiad winner,Hindi,62.0,Humanities
38157,Female,88,74,45,99,51,47,55,Music,Music,Athletics,Dance competition winner,English,65.57142857142857,Humanities
94899,Male,79,96,52,52,70,50,57,Travelling,Cooking,Tennis,Debate competition winner,English,65.14285714285714,Humanities
12046,Male,87,75,59,43,71,43,43,Cooking,Dance,Athletics,Math Olympiad winner,Hindi,60.142857142857146,Humanities
9919,Female,83,75,57,64,58,49,48,Music,Music,Basketball,Dance competition winner,Hindi,62.0,Humanities
