Acedamic percentage,Hours Studying per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability,Extra-courses did,certifications,talenttests taken,olympiads,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour,Salary/work,hard/smart worker,Introvert,Suggested Job Role
88,6,9,6,5,9,no,yes,Certified Accounting Technician (CAT),no,OfficeBased,poor,excellent,Financial Analytics and Data Visualization,International Taxation and Compliance,job,no,no,Poetry,salary,gentle,work,hard worker,no,Accountant
90,11,7,2,7,9,no,no,Certificate in Laboratory Techniques,yes,Fieldwork,excellent,poor,Lab Girl,Academic Research and Teaching,job,yes,no,Science,salary,stubborn,salary,smart worker,no,Scientist
67,8,9,3,1,5,no,yes,Coursera: Introduction to Game Development,yes,OfficeBased,poor,medium,Unity in Action,Game Programming,higherstudies,no,no,Series,salary,gentle,work,smart worker,no,Game Developer
79,7,2,6,7,9,yes,no,Coursera: Introduction to Digital Marketing,yes,OfficeBased,medium,poor,Entertainment Business and Management,Music Industry Management,job,no,no,Prayer books,salary,gentle,salary,smart worker,no,Entertainment industry
91,10,5,4,2,4,no,no,Certified Accounting Technician (CAT),yes,OfficeBased,excellent,excellent,Financial Analytics and Data Visualization,International Taxation and Compliance,job,no,no,Drama,salary,stubborn,salary,smart worker,yes,Accountant
74,5,1,4,9,6,no,yes,First Aid and CPR Certification,no,OfficeBased,medium,excellent,Human Anatomy and Physiology,Medical Research,higherstudies,no,no,Self help,Work,stubborn,salary,smart worker,no,Doctor
69,10,2,0,4,7,yes,no,Investopedia: Stock Market Investing Course,no,Fieldwork,excellent,medium,The Intelligent Investor,Portfolio Management,job,yes,no,Fantasy,salary,stubborn,work,smart worker,yes,Stock Investor
87,12,9,1,8,6,yes,no,Certified Accounting Technician (CAT),yes,RemoteWork,poor,excellent,Financial Analytics and Data Visualization,International Taxation and Compliance,job,yes,no,Horror,Work,stubborn,salary,smart worker,no,Accountant
91,11,4,0,3,3,yes,no,Certificate in Laboratory Techniques,no,RemoteWork,medium,poor,The Structure of Scientific Revolutions,Academic Research and Teaching,job,yes,yes,Prayer books,salary,gentle,work,hard worker,yes,Scientist
81,4,2,4,8,2,no,yes,AutoCAD Certification,no,RemoteWork,medium,medium,Physics and Mechanics,Product Engineer,job,yes,no,Biographies,Work,stubborn,salary,hard worker,no,Engineer
87,7,3,0,6,5,yes,yes,Diploma in Accounting,yes,RemoteWork,excellent,medium,Financial Analytics and Data Visualization,International Taxation and Compliance,job,no,no,Fantasy,Work,stubborn,work,hard worker,yes,Accountant
82,9,5,1,3,4,yes,yes,National Board Certification (NBC),no,RemoteWork,poor,poor,Curriculum Development and Instructional Design,Education Policy and Advocacy,higherstudies,no,no,Trilogy,salary,stubborn,salary,smart worker,no,Teacher
87,12,4,6,8,2,no,yes,Diploma in Accounting,yes,OfficeBased,excellent,excellent,Forensic Accounting,International Taxation and Compliance,job,yes,yes,Health,Work,stubborn,salary,hard worker,yes,Accountant
66,12,5,0,8,4,yes,no,Coursera: Introduction to Game Development,yes,RemoteWork,medium,poor,Game Programming Patterns,Game Programming,higherstudies,no,yes,Science,salary,stubborn,salary,smart worker,no,Game Developer
67,6,6,6,9,9,yes,no,Pharmacy Technician Certification (CPhT),yes,RemoteWork,excellent,excellent,Pharmacology,Pharmaceutical Research and Development,higherstudies,no,no,Health,salary,stubborn,work,hard worker,no,Pharmacy
74,9,8,3,9,3,no,no,First Aid and CPR Certification,no,OfficeBased,poor,excellent,Human Anatomy and Physiology,Public Health,higherstudies,yes,no,Series,salary,gentle,salary,smart worker,yes,Doctor
92,7,8,6,1,4,no,yes,Coursera: Introduction to Research Methods,no,RemoteWork,poor,medium,The Structure of Scientific Revolutions,Research and Development,job,yes,yes,Trilogy,Work,gentle,work,hard worker,no,Scientist
66,5,6,5,3,3,no,no,Unity Certified User,no,RemoteWork,excellent,medium,Game Programming Patterns,Game Programming,job,yes,yes,Self help,Work,gentle,salary,smart worker,no,Game Developer
86,10,7,5,9,8,yes,no,Certified Accounting Technician (CAT),no,Fieldwork,poor,excellent,Financial Analytics and Data Visualization,Financial Planning and Analysis,higherstudies,no,no,Journals,Work,gentle,salary,hard worker,yes,Accountant
76,8,7,4,6,9,no,yes,Coursera: Introduction to Law,no,OfficeBased,medium,medium,Constitutional Law,Litigation,higherstudies,no,no,Autobiographies,Work,stubborn,salary,hard worker,yes,Lawyer
91,4,5,0,6,2,yes,no,Diploma in Accounting,yes,Fieldwork,medium,excellent,Financial Analytics and Data Visualization,International Taxation and Compliance,job,no,no,Horror,salary,stubborn,salary,hard worker,yes,Accountant
88,11,4,0,8,1,no,no,Certificate in Laboratory Techniques,yes,RemoteWork,poor,poor,Lab Girl,Research and Development,job,no,no,Travel,Work,gentle,work,smart worker,yes,Scientist
92,4,6,0,4,2,no,no,Certificate in Laboratory Techniques,yes,RemoteWork,excellent,excellent,Lab Girl,Research and Development,job,yes,no,Series,Work,stubborn,salary,hard worker,yes,Scientist
89,7,4,0,2,3,no,no,Certified Fitness Trainer (CFT),no,Fieldwork,medium,poor,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,higherstudies,yes,yes,Autobiographies,Work,stubborn,work,hard worker,no,Sports person
67,5,7,6,6,6,no,no,Pharmacy Technician Certification (CPhT),yes,OfficeBased,excellent,excellent,Pharmaceutical Chemistry,Clinical Pharmacy,job,no,yes,Drama,salary,gentle,salary,smart worker,yes,Pharmacy
71,12,3,6,9,9,yes,yes,First Aid and CPR Certification,yes,Fieldwork,medium,excellent,Human Anatomy and Physiology,Public Health,job,yes,no,Satire,salary,gentle,salary,smart worker,no,Doctor
92,8,4,3,6,7,no,yes,Certificate in Laboratory Techniques,yes,Fieldwork,excellent,medium,Lab Girl,Research and Development,job,yes,yes,Religion-Spirituality,Work,gentle,salary,smart worker,no,Scientist
89,10,9,2,2,9,yes,no,Coursera: Introduction to Research Methods,yes,OfficeBased,medium,excellent,The Structure of Scientific Revolutions,Academic Research and Teaching,job,no,yes,Science,Work,gentle,salary,smart worker,no,Scientist
62,4,6,0,2,4,no,no,Unity Certified User,yes,RemoteWork,poor,excellent,Unity in Action,Game Design,job,no,yes,Science fiction,salary,stubborn,work,smart worker,no,Game Developer
82,7,6,5,6,7,no,yes,Teaching Certificate/License,yes,RemoteWork,poor,poor,Educational Psychology,Educational Technology Specialist,higherstudies,yes,yes,Science fiction,Work,gentle,work,hard worker,yes,Teacher
72,12,1,1,2,5,yes,yes,Certificate in Legal Studies,no,Fieldwork,medium,excellent,Constitutional Law,Litigation,higherstudies,no,yes,Diaries,Work,stubborn,work,smart worker,no,Lawyer
92,7,8,5,4,4,yes,no,Certified Accounting Technician (CAT),no,RemoteWork,excellent,medium,Forensic Accounting,International Taxation and Compliance,higherstudies,no,yes,Fantasy,Work,gentle,work,hard worker,yes,Accountant
76,7,5,4,3,7,yes,yes,Investopedia: Stock Market Investing Course,yes,RemoteWork,medium,excellent,The Intelligent Investor,Financial Analysis,job,yes,no,Guide,salary,stubborn,salary,hard worker,no,Stock Investor
72,6,8,3,7,4,yes,yes,First Aid and CPR Certification,no,OfficeBased,excellent,excellent,Medical Ethics and Professionalism,Public Health,job,yes,yes,Religion-Spirituality,salary,gentle,salary,hard worker,yes,Doctor
82,8,4,4,1,4,no,yes,Coursera: Foundations of Business Strategy,yes,RemoteWork,medium,medium,Master the Art of Business,Entrepreneurship and Startup Management,higherstudies,yes,no,Health,Work,stubborn,salary,hard worker,no,MBA
89,11,3,0,1,3,no,no,Diploma in Accounting,no,OfficeBased,excellent,poor,Forensic Accounting,Financial Planning and Analysis,job,no,yes,Horror,Work,gentle,salary,smart worker,yes,Accountant
88,4,1,5,5,5,no,no,Certified Accounting Technician (CAT),no,RemoteWork,medium,excellent,Forensic Accounting,Financial Planning and Analysis,higherstudies,no,no,Guide,salary,gentle,work,hard worker,yes,Accountant
76,6,1,6,5,8,yes,no,Investopedia: Stock Market Investing Course,no,Fieldwork,excellent,poor,The Intelligent Investor,Portfolio Management,job,no,no,Math,Work,gentle,work,hard worker,yes,Stock Investor
63,7,6,1,1,6,no,no,Certificate in Banking and Finance,yes,Fieldwork,excellent,excellent,Corporate Finance,Investment Banking,higherstudies,no,no,Autobiographies,salary,gentle,salary,smart worker,no,Banker
61,8,5,0,7,2,yes,yes,Certificate in Banking and Finance,no,OfficeBased,poor,poor,Corporate Finance,Investment Banking,job,yes,no,Dictionaries,Work,gentle,work,smart worker,yes,Banker
92,7,7,0,7,9,yes,yes,Certified Accounting Technician (CAT),yes,OfficeBased,poor,poor,Forensic Accounting,International Taxation and Compliance,job,no,yes,Health,Work,stubborn,salary,smart worker,yes,Accountant
90,11,2,1,7,9,no,yes,Diploma in Accounting,yes,OfficeBased,medium,medium,Forensic Accounting,Financial Planning and Analysis,higherstudies,yes,yes,Fantasy,Work,stubborn,work,hard worker,no,Accountant
67,9,1,5,1,9,yes,yes,Associate Chartered Banker (ACIB),yes,Fieldwork,poor,poor,Financial Markets,Investment Banking,higherstudies,no,no,Childrens,Work,gentle,salary,smart worker,yes,Banker
85,10,2,0,4,4,yes,yes,Certificate in Business Administration,no,OfficeBased,medium,excellent,Master the Art of Business,Entrepreneurship and Startup Management,job,yes,yes,Dictionaries,salary,stubborn,salary,hard worker,no,MBA
63,12,1,1,5,4,no,no,Unity Certified User,yes,Fieldwork,excellent,poor,Game Programming Patterns,Game Programming,job,yes,no,Self help,salary,gentle,work,hard worker,no,Game Developer
92,6,7,3,1,7,yes,yes,Sports First Aid Certification,yes,OfficeBased,excellent,excellent,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,higherstudies,yes,no,Art,Work,gentle,salary,hard worker,yes,Sports person
79,5,2,3,3,1,no,no,Teaching Certificate/License,no,Fieldwork,excellent,medium,Educational Psychology,Education Policy and Advocacy,job,no,yes,Satire,salary,stubborn,work,hard worker,no,Teacher
85,12,9,5,2,2,no,no,Teaching Certificate/License,yes,Fieldwork,excellent,excellent,Educational Psychology,Educational Technology Specialist,job,no,yes,Travel,salary,gentle,salary,hard worker,yes,Teacher
91,6,1,2,4,9,no,yes,Certified Fitness Trainer (CFT),no,OfficeBased,excellent,excellent,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,job,no,no,Childrens,salary,gentle,salary,hard worker,yes,Sports person
84,6,6,0,2,6,yes,no,Teaching Certificate/License,no,RemoteWork,medium,poor,Educational Psychology,Education Policy and Advocacy,job,no,yes,Science,salary,stubborn,work,hard worker,no,Teacher
88,8,8,1,3,8,no,yes,Sports First Aid Certification,no,OfficeBased,medium,poor,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,job,yes,yes,Action and Adventure,Work,gentle,work,hard worker,yes,Sports person
64,7,7,0,2,9,yes,yes,Pharmacy Technician Certification (CPhT),yes,OfficeBased,poor,medium,Pharmacology,Clinical Pharmacy,higherstudies,yes,yes,Guide,Work,gentle,salary,hard worker,yes,Pharmacy
75,8,7,3,8,9,yes,yes,Certificate in Financial Markets,no,Fieldwork,medium,excellent,The Intelligent Investor,Financial Analysis,job,yes,yes,Encyclopedias,Work,stubborn,salary,smart worker,no,Stock Investor
62,4,9,5,8,4,yes,no,Unity Certified User,no,Fieldwork,medium,medium,Unity in Action,Game Programming,job,no,no,Poetry,Work,stubborn,work,hard worker,yes,Game Developer
73,5,2,6,5,6,yes,yes,Investopedia: Stock Market Investing Course,no,OfficeBased,poor,medium,Financial Statement Analysis,Portfolio Management,job,yes,yes,Drama,Work,stubborn,work,hard worker,yes,Stock Investor
92,8,5,6,6,2,yes,yes,Certificate in Laboratory Techniques,yes,RemoteWork,medium,medium,The Structure of Scientific Revolutions,Academic Research and Teaching,higherstudies,yes,yes,Series,salary,stubborn,salary,smart worker,no,Scientist
67,11,8,2,2,4,no,yes,Pharmacy Technician Certification (CPhT),yes,OfficeBased,excellent,poor,Pharmacology,Pharmaceutical Research and Development,higherstudies,yes,yes,Health,Work,stubborn,salary,smart worker,no,Pharmacy
82,7,5,1,6,4,no,no,Coursera: Introduction to Digital Marketing,yes,RemoteWork,excellent,medium,Entertainment Business and Management,Film and Television Production,job,no,yes,Mystery,salary,stubborn,work,smart worker,no,Entertainment industry
72,11,9,6,8,6,yes,no,Certificate in Financial Markets,yes,OfficeBased,excellent,medium,The Intelligent Investor,Financial Analysis,higherstudies,yes,no,History,salary,stubborn,work,hard worker,no,Stock Investor
74,11,8,5,6,9,no,yes,Certificate in Legal Studies,yes,RemoteWork,medium,poor,Legal Research and Writing,Corporate Law,higherstudies,no,yes,Childrens,salary,stubborn,salary,hard worker,yes,Lawyer
69,6,4,0,2,9,no,no,Certificate in Financial Markets,yes,RemoteWork,excellent,poor,The Intelligent Investor,Financial Analysis,job,no,yes,Horror,salary,gentle,salary,hard worker,no,Stock Investor
80,6,4,0,4,8,yes,no,Coursera: Introduction to Digital Marketing,no,OfficeBased,medium,poor,Entertainment Business and Management,Film and Television Production,job,no,yes,Math,salary,gentle,salary,hard worker,yes,Entertainment industry
63,11,8,6,6,8,no,no,Diploma in Pharmaceutical Sciences,yes,OfficeBased,excellent,poor,Pharmaceutical Chemistry,Pharmaceutical Research and Development,job,no,no,Guide,salary,stubborn,salary,hard worker,yes,Pharmacy
82,9,7,0,2,3,no,yes,AutoCAD Certification,no,RemoteWork,poor,poor,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,higherstudies,no,no,Comics,Work,gentle,salary,smart worker,yes,Engineer
91,6,7,0,4,2,no,yes,Certified Fitness Trainer (CFT),no,OfficeBased,excellent,medium,Sports Science and Exercise Physiology,Sports Marketing and Sponsorship,higherstudies,yes,yes,Comics,Work,gentle,salary,smart worker,no,Sports person
93,4,3,3,9,4,yes,yes,Diploma in Accounting,yes,OfficeBased,excellent,medium,Forensic Accounting,Financial Planning and Analysis,higherstudies,yes,no,History,salary,stubborn,salary,hard worker,no,Accountant
94,9,6,1,9,5,no,yes,Sports First Aid Certification,no,RemoteWork,poor,poor,Sports Management and Administration,Sports Marketing and Sponsorship,job,yes,no,Comics,Work,gentle,salary,smart worker,yes,Sports person
67,12,5,4,5,9,yes,yes,Pharmacy Technician Certification (CPhT),yes,Fieldwork,poor,medium,Pharmacology,Clinical Pharmacy,higherstudies,yes,yes,Health,Work,gentle,work,smart worker,yes,Pharmacy
86,5,7,6,4,4,yes,yes,Coursera: Introduction to Research Methods,no,OfficeBased,poor,poor,The Structure of Scientific Revolutions,Academic Research and Teaching,job,yes,yes,Self help,Work,stubborn,salary,hard worker,no,Scientist
83,11,9,2,7,6,yes,yes,Certified SolidWorks Associate (CSWA),no,RemoteWork,excellent,medium,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,higherstudies,yes,no,Art,Work,gentle,work,hard worker,no,Engineer
64,6,8,3,5,6,yes,no,Diploma in Pharmaceutical Sciences,no,RemoteWork,poor,poor,Pharmaceutical Chemistry,Clinical Pharmacy,job,no,yes,Guide,Work,gentle,salary,smart worker,no,Pharmacy
74,9,3,1,1,9,no,yes,First Aid and CPR Certification,no,OfficeBased,poor,medium,Medical Ethics and Professionalism,Medical Research,job,no,no,Religion-Spirituality,Work,gentle,work,smart worker,yes,Doctor
75,7,5,5,3,4,yes,yes,Certificate in Financial Markets,no,Fieldwork,medium,excellent,The Intelligent Investor,Portfolio Management,higherstudies,yes,no,Encyclopedias,salary,stubborn,work,smart worker,no,Stock Investor
64,9,2,4,3,6,yes,yes,Associate Chartered Banker (ACIB),no,OfficeBased,medium,excellent,Financial Markets,Private Wealth Management,higherstudies,yes,no,Action and Adventure,salary,stubborn,work,hard worker,no,Banker
90,8,8,0,5,8,no,yes,Certificate in Laboratory Techniques,yes,OfficeBased,medium,poor,The Structure of Scientific Revolutions,Academic Research and Teaching,higherstudies,no,yes,Self help,Work,gentle,salary,smart worker,yes,Scientist
84,7,8,4,5,3,yes,yes,Certificate in Business Administration,yes,Fieldwork,excellent,excellent,The Lean Startup,Management Consulting,higherstudies,no,no,Guide,Work,stubborn,salary,smart worker,yes,MBA
71,4,8,3,9,1,yes,yes,Coursera: Introduction to Law,yes,OfficeBased,poor,poor,Legal Research and Writing,Corporate Law,higherstudies,yes,no,Autobiographies,Work,gentle,work,smart worker,yes,Lawyer
77,8,6,5,6,8,no,yes,National Board Certification (NBC),yes,RemoteWork,medium,medium,Educational Psychology,Educational Technology Specialist,job,no,no,Self help,Work,gentle,salary,smart worker,yes,Teacher
60,8,2,1,3,6,yes,no,Certificate in Banking and Finance,no,Fieldwork,excellent,poor,Corporate Finance,Private Wealth Management,job,yes,yes,Biographies,salary,gentle,salary,smart worker,yes,Banker
73,8,4,5,8,9,no,yes,Certificate in Financial Markets,yes,Fieldwork,medium,poor,The Intelligent Investor,Financial Analysis,higherstudies,no,no,Drama,Work,stubborn,salary,hard worker,yes,Stock Investor
77,9,5,4,1,3,no,no,Certificate in Financial Markets,yes,OfficeBased,poor,excellent,The Intelligent Investor,Financial Analysis,job,yes,yes,Horror,Work,stubborn,work,hard worker,yes,Stock Investor
87,11,8,2,2,3,yes,yes,Diploma in Accounting,yes,OfficeBased,excellent,medium,Financial Analytics and Data Visualization,International Taxation and Compliance,job,yes,yes,Math,salary,gentle,salary,smart worker,yes,Accountant
66,7,9,2,2,3,yes,no,Certificate in Banking and Finance,yes,RemoteWork,medium,medium,Financial Markets,Private Wealth Management,job,yes,no,Action and Adventure,Work,stubborn,salary,hard worker,no,Banker
70,10,7,2,6,5,yes,no,Certified Nursing Assistant (CNA),no,OfficeBased,medium,excellent,Medical Ethics and Professionalism,Medical Research,higherstudies,yes,no,Romance,Work,gentle,work,smart worker,yes,Doctor
85,12,3,6,4,3,yes,yes,Certificate in Media Production,yes,Fieldwork,medium,poor,Media Studies and Communication,Music Industry Management,higherstudies,no,yes,Mystery,Work,gentle,salary,hard worker,yes,Entertainment industry
76,6,7,6,3,4,no,no,Certificate in Legal Studies,no,OfficeBased,poor,medium,Legal Research and Writing,Corporate Law,job,yes,yes,Cookbooks,Work,gentle,work,hard worker,no,Lawyer
80,5,8,2,8,8,no,no,AutoCAD Certification,yes,OfficeBased,poor,poor,Mathematics and Applied Mathematics,Product Engineer,higherstudies,yes,yes,Action and Adventure,Work,stubborn,work,smart worker,no,Engineer
61,10,4,6,6,2,no,no,Certificate in Banking and Finance,no,Fieldwork,medium,medium,Financial Markets,Private Wealth Management,job,no,yes,Art,Work,stubborn,work,hard worker,no,Banker
66,8,6,4,5,6,no,yes,Certificate in Banking and Finance,yes,RemoteWork,excellent,medium,Financial Markets,Private Wealth Management,job,no,yes,Autobiographies,salary,gentle,salary,hard worker,no,Banker
81,4,7,3,8,7,no,yes,Certificate in Media Production,yes,RemoteWork,poor,medium,Media Studies and Communication,Film and Television Production,higherstudies,no,yes,Mystery,salary,stubborn,work,hard worker,yes,Entertainment industry
92,9,7,2,4,6,yes,yes,Diploma in Accounting,no,OfficeBased,medium,poor,Forensic Accounting,Financial Planning and Analysis,higherstudies,no,no,Health,Work,stubborn,work,hard worker,no,Accountant
74,5,9,3,4,8,yes,no,Coursera: Introduction to Law,yes,RemoteWork,excellent,excellent,Legal Research and Writing,Corporate Law,job,yes,no,Dictionaries,Work,gentle,work,smart worker,yes,Lawyer
81,5,8,5,8,3,yes,no,Certified SolidWorks Associate (CSWA),no,RemoteWork,excellent,excellent,Physics and Mechanics,Product Engineer,higherstudies,yes,yes,Cookbooks,salary,stubborn,work,smart worker,yes,Engineer
83,11,8,2,2,8,no,no,AutoCAD Certification,no,RemoteWork,poor,poor,Mathematics and Applied Mathematics,Artificial Intelligence and Machine Learning,job,no,yes,Childrens,Work,stubborn,salary,smart worker,yes,Engineer
93,9,1,3,1,1,yes,yes,Diploma in Accounting,yes,RemoteWork,medium,excellent,Financial Analytics and Data Visualization,Financial Planning and Analysis,job,yes,yes,Drama,salary,gentle,work,hard worker,no,Accountant
81,10,2,3,9,2,no,yes,National Board Certification (NBC),no,OfficeBased,excellent,medium,Curriculum Development and Instructional Design,Education Policy and Advocacy,job,yes,yes,Satire,Work,gentle,work,hard worker,no,Teacher
66,6,8,6,5,3,yes,yes,Diploma in Pharmaceutical Sciences,yes,Fieldwork,poor,excellent,Pharmaceutical Chemistry,Pharmaceutical Research and Development,job,yes,yes,Horror,Work,gentle,salary,smart worker,no,Pharmacy
88,4,3,6,1,1,no,no,Certificate in Laboratory Techniques,no,RemoteWork,medium,excellent,The Structure of Scientific Revolutions,Research and Development,job,no,yes,Romance,salary,gentle,work,smart worker,no,Scientist
78,10,3,4,5,3,yes,no,Certificate in Media Production,no,OfficeBased,poor,medium,Entertainment Business and Management,Film and Television Production,higherstudies,yes,yes,Math,Work,stubborn,work,smart worker,no,Entertainment industry
86,6,4,0,3,2,no,yes,Coursera: Foundations of Business Strategy,yes,RemoteWork,excellent,excellent,The Lean Startup,Entrepreneurship and Startup Management,higherstudies,yes,no,Encyclopedias,salary,stubborn,salary,hard worker,yes,MBA
92,5,9,0,6,6,yes,yes,Certified Fitness Trainer (CFT),yes,OfficeBased,poor,medium,Sports Science and Exercise Physiology,Sports Medicine and Athletic Training,job,yes,no,Action and Adventure,Work,stubborn,work,smart worker,yes,Sports person
94,8,4,3,5,1,no,no,Certificate in Laboratory Techniques,no,RemoteWork,poor,poor,Lab Girl,Research and Development,job,no,yes,Self help,Work,gentle,work,hard worker,no,Scientist
87,6,7,6,5,5,yes,yes,Diploma in Accounting,no,RemoteWork,poor,medium,Forensic Accounting,International Taxation and Compliance,job,yes,yes,Journals,Work,gentle,work,hard worker,no,Accountant
70,10,6,0,6,4,no,yes,Certificate in Legal Studies,yes,Fieldwork,poor,medium,Legal Research and Writing,Corporate Law,higherstudies,yes,no,Biographies,Work,stubborn,work,smart worker,yes,Lawyer
74,7,7,3,4,5,yes,no,First Aid and CPR Certification,no,Fieldwork,poor,medium,Human Anatomy and Physiology,Public Health,higherstudies,yes,no,Science fiction,salary,gentle,salary,hard worker,no,Doctor
84,4,9,0,3,3,no,no,Teaching Certificate/License,no,Fieldwork,poor,excellent,Educational Psychology,Education Policy and Advocacy,higherstudies,no,no,Science fiction,salary,stubborn,work,hard worker,yes,Teacher
81,10,4,0,1,1,yes,yes,Teaching Certificate/License,no,Fieldwork,medium,excellent,Curriculum Development and Instructional Design,Educational Technology Specialist,job,no,yes,Travel,salary,stubborn,salary,hard worker,yes,Teacher
94,8,4,2,5,7,yes,no,Certificate in Laboratory Techniques,yes,RemoteWork,medium,medium,The Structure of Scientific Revolutions,Academic Research and Teaching,higherstudies,yes,no,Science,salary,stubborn,salary,smart worker,yes,Scientist
89,12,8,4,4,6,no,no,Certified Accounting Technician (CAT),no,Fieldwork,medium,poor,Forensic Accounting,Financial Planning and Analysis,job,no,no,Horror,salary,gentle,salary,smart worker,no,Accountant
79,10,9,1,4,9,no,yes,Teaching Certificate/License,no,Fieldwork,excellent,poor,Educational Psychology,Education Policy and Advocacy,higherstudies,no,yes,Travel,Work,gentle,salary,hard worker,no,Teacher
62,8,7,3,8,4,yes,yes,Unity Certified User,no,OfficeBased,poor,medium,Game Programming Patterns,Game Design,higherstudies,no,no,Travel,salary,gentle,work,hard worker,no,Game Developer
60,5,7,0,9,2,no,yes,Associate Chartered Banker (ACIB),yes,RemoteWork,poor,medium,Financial Markets,Private Wealth Management,higherstudies,yes,yes,Biographies,Work,stubborn,salary,hard worker,no,Banker
75,8,9,5,5,2,yes,no,Investopedia: Stock Market Investing Course,no,Fieldwork,excellent,medium,The Intelligent Investor,Financial Analysis,job,no,no,Poetry,Work,gentle,work,hard worker,yes,Stock Investor
78,5,9,6,9,6,yes,no,Certificate in Business Administration,yes,Fieldwork,excellent,excellent,Master the Art of Business,Entrepreneurship and Startup Management,higherstudies,yes,yes,Fantasy,salary,stubborn,work,smart worker,yes,MBA
86,4,6,3,2,3,no,yes,Coursera: Introduction to Digital Marketing,no,Fieldwork,excellent,medium,Entertainment Business and Management,Film and Television Production,job,no,no,Poetry,salary,stubborn,work,smart worker,no,Entertainment industry
70,5,2,4,8,5,no,no,Investopedia: Stock Market Investing Course,yes,RemoteWork,excellent,medium,Financial Statement Analysis,Portfolio Management,higherstudies,yes,yes,Guide,salary,stubborn,work,smart worker,yes,Stock Investor
74,11,3,4,4,1,yes,yes,Coursera: Introduction to Law,no,RemoteWork,poor,medium,Legal Research and Writing,Litigation,higherstudies,yes,no,Art,Work,gentle,work,hard worker,no,Lawyer
80,8,1,4,3,3,yes,no,Coursera: Foundations of Business Strategy,no,RemoteWork,medium,poor,The Lean Startup,Entrepreneurship and Startup Management,job,no,yes,Encyclopedias,salary,gentle,salary,hard worker,yes,MBA
68,4,2,2,6,6,yes,no,Coursera: Introduction to Law,no,Fieldwork,excellent,excellent,Constitutional Law,Corporate Law,job,no,yes,Diaries,salary,gentle,salary,smart worker,yes,Lawyer
64,8,5,4,6,3,yes,no,Diploma in Pharmaceutical Sciences,yes,OfficeBased,poor,medium,Pharmaceutical Chemistry,Pharmaceutical Research and Development,higherstudies,yes,yes,Math,salary,stubborn,work,smart worker,yes,Pharmacy
71,12,8,5,1,4,yes,yes,First Aid and CPR Certification,yes,RemoteWork,medium,excellent,Human Anatomy and Physiology,Medical Research,job,yes,yes,Trilogy,Work,stubborn,work,hard worker,no,Doctor
68,7,9,5,2,1,no,no,Certified Nursing Assistant (CNA),no,RemoteWork,medium,excellent,Medical Ethics and Professionalism,Public Health,job,yes,no,Self help,Work,stubborn,salary,hard worker,no,Doctor
87,10,3,4,1,9,yes,yes,Sports First Aid Certification,yes,OfficeBased,medium,medium,Sports Management and Administration,Sports Medicine and Athletic Training,job,yes,yes,Biographies,Work,gentle,work,smart worker,yes,Sports person
78,12,2,5,2,9,no,no,Teaching Certificate/License,no,RemoteWork,excellent,poor,Curriculum Development and Instructional Design,Educational Technology Specialist,higherstudies,no,no,Satire,salary,stubborn,work,smart worker,yes,Teacher
84,10,8,3,3,8,yes,no,Teaching Certificate/License,no,RemoteWork,poor,excellent,Educational Psychology,Educational Technology Specialist,higherstudies,yes,yes,Science,salary,gentle,salary,smart worker,yes,Teacher
88,7,5,3,9,3,no,no,Coursera: Introduction to Research Methods,yes,Fieldwork,excellent,medium,Lab Girl,Academic Research and Teaching,higherstudies,no,yes,Travel,Work,stubborn,salary,smart worker,no,Scientist
86,6,6,0,4,2,yes,yes,Coursera: Introduction to Research Methods,yes,Fieldwork,medium,medium,Lab Girl,Academic Research and Teaching,job,yes,no,Science,Work,stubborn,salary,hard worker,no,Scientist
88,7,9,5,2,4,no,no,Certified Fitness Trainer (CFT),yes,Fieldwork,medium,excellent,Sports Management and Administration,Sports Marketing and Sponsorship,job,no,no,Childrens,salary,gentle,salary,smart worker,no,Sports person
76,7,6,0,2,9,no,yes,Investopedia: Stock Market Investing Course,yes,RemoteWork,excellent,medium,Financial Statement Analysis,Financial Analysis,job,yes,yes,Drama,Work,stubborn,salary,hard worker,no,Stock Investor
83,11,6,1,5,9,no,yes,Coursera: Foundations of Business Strategy,yes,OfficeBased,poor,medium,The Lean Startup,Management Consulting,job,yes,no,Fantasy,Work,stubborn,salary,smart worker,yes,MBA
77,4,6,0,1,1,no,yes,Investopedia: Stock Market Investing Course,no,OfficeBased,poor,excellent,Financial Statement Analysis,Financial Analysis,higherstudies,yes,yes,History,Work,stubborn,salary,hard worker,yes,Stock Investor
78,7,2,2,9,2,yes,no,AutoCAD Certification,yes,OfficeBased,medium,poor,Physics and Mechanics,Artificial Intelligence and Machine Learning,job,yes,no,Comics,Work,stubborn,salary,smart worker,no,Engineer
